2024-11-30 03:34:32.190 [info] update#setState disabled
2024-11-30 03:34:32.190 [info] update#ctor - updates are disabled as there is no update URL
2024-11-30 03:34:42.171 [info] Extension host with pid 14348 exited with code: 0, signal: unknown.
2024-11-30 03:34:44.237 [info] Extension host with pid 14439 exited with code: 0, signal: unknown.
2024-11-30 03:34:51.201 [info] Extension host with pid 14362 exited with code: 0, signal: unknown.
2024-11-30 03:34:52.202 [error] Extension host with pid 14362 still exists, forcefully killing it...
2024-11-30 03:35:01.312 [info] Extension host with pid 15333 exited with code: 0, signal: unknown.
2024-11-30 03:35:07.823 [info] Extension host with pid 15516 exited with code: 0, signal: unknown.
2024-11-30 03:35:09.796 [info] Extension host with pid 15612 exited with code: 0, signal: unknown.
2024-11-30 03:35:10.282 [info] Extension host with pid 15597 exited with code: 0, signal: unknown.
2024-11-30 03:35:14.724 [info] Extension host with pid 15711 exited with code: 0, signal: unknown.
2024-11-30 03:35:16.018 [info] Extension host with pid 15759 exited with code: 0, signal: unknown.
2024-11-30 03:35:16.523 [info] Extension host with pid 15758 exited with code: 0, signal: unknown.
